,ID,Created_at,Location,text,label
2,140,5/2/2011 17:44,42.17201 93.33086,I have a constant headache. wtf is on my mind,1
19,727,5/6/2011 22:16,42.19972 93.52857,is having a terrible headache. :(,1
45,1596,5/4/2011 21:09,42.26164 93.52337,My headache is killing me softly. Wah.,1
566,14747,4/30/2011 3:56,42.23776 93.35482,I'm getting a headache..,1
620,16209,5/9/2011 17:18,42.2525 93.26935,Have a huge headache  sharp pain in side and just feel sick! this week is not good for me! I need something to cheer me up :(,1
679,17851,5/14/2011 21:50,42.29761 93.21862,Left grandmas cus i feel sick again.. Fever is comin backk and im freeeezing,1
814,20764,5/12/2011 8:19,42.24012 93.34644,Fever is down.. But coughing doesnt seem to minimise even abit. Pls pls pls sick go away. I need alot of energy for tis wkend event.. :-,1
1263,32342,5/11/2011 22:09,42.287 93.23899,Hav 2get up in 45min.. I feel sick: headache  nausea + body aches :/ 2day is nt gona be fun..,1
1772,44955,5/7/2011 1:41,42.21535 93.368,My daughter is down with fever. I can't even remember the last time she was sick. She is one tough cookie. Hope she always stays that wa,1
2034,50710,5/6/2011 6:54,42.23687 93.35482,I'm sick now. All my body is hot  but I feel cold and have a headache...,1
2108,52346,5/6/2011 6:37,42.23982 93.33405,this mata and chai tea is doing good things for my cold. Who gets sick in the summer? My mother. Why did she have 2 bring it to DC with,1
2301,56904,5/14/2011 2:31,42.23275 93.33725,#DontYouJusthateitwhen you're sick and can't breathe out your nose?! That's me right now! Uhh!,1
2551,63011,5/4/2011 2:28,42.23864 93.36401,My throat is pain  running nose and cough ! Why am I falling sick during my holiday!,1
759897,178885,5/3/2011 16:22,42.22479 93.38598,Sick  dying  and at work. In 9 min I will begin my 6 hr shift.,1
759752,178844,5/5/2011 18:03,42.28611 93.52457,kayln is so sick,1
758365,178511,5/6/2011 19:36,42.22921 93.33765,Feel sick now :'/ shouldn't of put so much chillie in my food stomach is like on fire,1
758070,178441,5/16/2011 4:13,42.23098 93.32527,Ugh this is just what I needed! I'm sick -_-,1
759753,178844,5/10/2011 18:03,42.20975 93.29451,is 37.5 degree celcius normal as ever?,1
2109,52417,5/14/2011 21:42,42.27491 93.39996,I hate sickness. I'm really warm but I feel so cold. My body is really achy):,1
8,370,5/16/2011 14:56,42.26488 93.31408,Old school greenday then old school paramore:) my night is set.Hello insomnia my old friend i thought you would pay me a visit tonight..,1
58,2007,5/15/2011 14:07,42.20326 93.34404,is feeling crook with flu  who drove the bus over me??,1
84,2700,5/11/2011 14:33,42.2755 93.24179,Man is a goalseeking animal. His life only has meaning if he is reaching out and striving for his goals,1
166,4838,5/16/2011 11:15,42.23687 93.35083,My breathing is terrible and so I have to be on this stupid breathing machine..haven't done this in like 2yrs....#whyme,1
173,4985,5/8/2011 3:48,42.24012 93.35402,Feel sorry for anyone watching the debate who was after substance. Wouldn't want to make up your mind based on this fluff. #debate #ausv,0
178,5161,5/2/2011 2:15,42.20385 93.39596,How come my kids always get sick on the weekend? It was just a slight fever yesterday but today Rudy is just miserable. Even with motrin,1
754455,177603,5/3/2011 4:45,42.19471 93.38957,Tweesha is sick :'(,1
62,2110,5/15/2011 14:43,42.22655 93.36641,My whole body is aching and I have a hideous chesty cough...might have to go see my Doc tomorrow :(,1
2045,50944,5/15/2011 23:18,42.24955 93.56052,Feeling very unwell. Instead of hitting the HQ bar  I'm in my room curled up trying to keep some water down. :(,1
2431,60154,4/30/2011 7:23,42.28936 93.38478,Really unwell. My physical health is on a major decline and this cold is not helping!,1
2788,68095,5/3/2011 13:47,42.27402 93.55812,Stomach ache  heartburn and rain. This week is off to a good start.,1
3628,89142,5/4/2011 16:34,42.27786 93.27814,My chest is killing me. No bueno. HEARTBURN.,1
462,12219,5/13/2011 22:21,42.29555 93.39796,I'VE BEEN COUGHING FOR ALMOST A WEEK NOW AND ALL MY PARENTS DO TO HELP IS BUY ME CHOCOLATE AND COOKIES. THANKS A LOT.,1
537,14202,5/1/2011 18:14,42.28287 93.31169,This cough is getting worse! No good!!,1
653,17198,5/7/2011 15:42,42.27786 93.31049,This cough is rocking my whole respiratory system. :,1
6316,156208,5/1/2011 9:17,42.241 93.35323,I felt quite unwell through the night and also this morning  having severe pain in my bowels.,1
6314,156208,4/30/2011 9:17,42.27461 93.4367,Morning fine but cool. I feel quite unwell yet  and have been sick all night.,1
6360,157167,5/11/2011 0:11,42.21653 93.36121,The headache is still here. The medicine cupboard is once again only offering rat poison and mousetraps.,1
6396,157907,5/11/2011 0:02,42.29614 93.4375,My face still hurtin! I hate sinus headaches!,1
6397,157959,5/14/2011 23:42,42.24012 93.34723,Stomach hurts again and headache is back. What a day,1
197,5774,5/5/2011 0:48,42.23127 93.36481,Is this the year I'm actually on time? #doubtful #fluke,0
198,5833,5/7/2011 8:09,42.17584 93.42392,it.is.cold. but its 69 degrees :D,0
231,6504,5/3/2011 7:38,42.24395 93.51059,Cold coffee is so nasty  but I still drank it!! Ugh,0
245,6769,5/11/2011 0:23,42.27756 93.3712,I'm wearing a hat  a hoody  a scarf and have my duvet wrapped around me.....i'm still cold,0
257,6950,5/1/2011 11:23,42.22714 93.35283,mommmmyy is wearing two big tops! this shows how cold today is.,0
286,7550,5/15/2011 14:46,42.16935 93.54814,As you can see fortunately I'm cold as fire make you believe make you stop and breath I'll take you higher.,0
315,8406,5/3/2011 9:58,42.2923 93.28533,Your skin is pale white and ice cold... I know what you are.' 'Say it. Out loud.' '...Polar Bear.,0
327,8869,5/1/2011 0:05,42.20326 93.39596,Not being funny but its 1:46 and I'm still awake ! What the hell is wrong for me ! I really think I have insomnia issues !!!!!!!!!!!!!!!,0
332,8972,5/8/2011 12:48,42.21152 93.33965,No more teaching  buffalo sauce on my car seat  and a lost wallet...can I have a break please?!,0
333,9054,5/10/2011 19:58,42.28228 93.46266,My heart will turn pitch black nd cold. If I split w. My girl. If I cud gift wrap the globe I'd give u the world .,0
338,9252,5/16/2011 13:04,42.27078 93.31528,No been in the mountains for ages. Need out  cabin fever is sinking in!,0
360,9729,5/10/2011 14:59,42.20149 93.36641,Hall Of Fame Big Bull 'The Capacitor' Fluxe beat Michael 'The Mauler' Thompson  and is the new champ #mma #ufc #mmorpg,0
373,10020,5/7/2011 23:53,42.28582 93.34244,its saturday and i have a headache.  this isnt fair,1
432,11390,5/13/2011 4:56,42.1667 93.40076,Its cold out so come inside and let my thighs warm you up ; ),0
464,12321,4/30/2011 2:36,42.18498 93.48463,When U arise in the morning  think of what a precious privilege it is to be alive - to breathe  2 think  2 enjoy  2 love.  Marcus Aureli,0
481,12725,5/5/2011 23:57,42.22596 93.33166,I have no net  I'm feeling unwell. This is not a good end to my weekend!,1
485,12872,5/9/2011 7:18,42.20031 93.21862,Its sooo cold I can't even get my brain to focus on a book #literally I'm shivering soooo baaaadddd!! :(,0
500,13192,5/1/2011 15:52,42.23127 93.33325,is teaching Swedish kids to cross the street on red...,0
504,13299,5/7/2011 2:06,42.23511 93.33365,#dontyoujusthateitwhen sumbody fine walks up to you and den dey open they mouth #stankbreath eeewwww,0
521,13648,5/14/2011 9:30,42.23452 93.32686,A whopping 20 degrees outside  GRATEFUL for this nice warm fire  it's working well with this nice cold Smirnoff & my blip.fm playlist. :,0
522,13793,5/3/2011 21:22,42.16523 93.36641,Now #sherlock is trying to counter my harsh words with asian women..nice try but it wont work!....*sweats*..must...resist...failing...,0
525,13869,5/6/2011 2:14,42.21506 93.53775,Omg  I forgot! Its August! Ugh  hate August. Know what this means?? The cold is coming and football is going to be all I hear about now.,0
594,15709,5/12/2011 8:39,42.27019 93.27055,SC2 download fluctuating between 4 and 112 hours remaining. This is why I'm not a big fan of BitTorrent as a distribution mechanism.,0
600,15853,5/10/2011 20:45,42.21299 93.39516,Can Good Teaching Be Learned?,0
625,16452,5/12/2011 13:21,42.2755 93.47305,Is it wrong to tell someone to stfu when they been coughing for 15 minutes nonstop? -_-,1
652,17139,5/2/2011 20:58,42.21211 93.39237,Well that was the first time we've evacuated a crew due to lightning strikes and an approaching forest fire...,0
657,17308,5/16/2011 15:02,42.17673 93.21423,I clench my teeth when its cold,0
688,17936,5/7/2011 15:04,42.22302 93.33206,I can't understand y I had to get so sick.... My jobs ac is always on blast and I wear a jacket but I still got a bad cold,1
716,18525,5/4/2011 16:51,42.21388 93.34244,Thanksgiving Is A Season That Is Very Much In Accord With The Teachings Of Jesus Christ - John Clayton #tcot #tlot #ocra #teaparty #sgp,0
722,18761,5/5/2011 6:11,42.18292 93.55772,Vanmiddag This is it gekeken met Stefan en Puk. Was grappig! :') dadelijk dwarsfluit spelen  dan eten en daarna film kijken bij Stefan.,0
746,19264,5/13/2011 3:24,42.2699 93.3708,What is breathing?,0
757,19490,5/10/2011 14:20,42.21535 93.34044,Leaving office now.. My neck is so aching....,0
761,19687,5/7/2011 2:57,42.16965 93.41993,this headache is max poppin right now! i need some bc powder,1
763,19705,5/9/2011 10:35,42.21535 93.39157,Grandma is teaching me the origins of spanish cuss words ^-^,0
781,20060,5/7/2011 8:13,42.25073 93.33006,I.C.P &lt;33 ughh i think i saw him )': he looked more breath taking then before... T^T wth is my problem...,0
795,20403,5/13/2011 7:46,42.2814 93.33965,A cold shower is in order. Esp after that nasty day at work. Ignorance is dirty and so unattractive.,0
