,ID,Created_at,Location,text,label
354,68,5/14/2011 15:35,42.22302 93.36281,f;jaslfksdhlkfjcnbdsjlkjnsadcbljhsdkfnc bkjhlsjadfbnvsdkl;jabfknlcs jd;kslfmscn kdjnfckj;ldnfbckjndsjkf;iehfeowijsdhnfcoldjnbavdskljncjk,1
485,84,5/7/2011 19:34,42.22154 93.33246,Right knee is aching a bit this morning but the rest of the legs seem ok - haven't tackled many stairs yet so that could change!,1
733,140,5/2/2011 17:44,42.17201 93.33086,I have a constant headache. wtf is on my mind,1
899,167,5/1/2011 6:17,42.2068 93.34883,When he looks at her/ he sometimes forgets to breathe/ so lovely is she. #haiku,1
1321,228,5/2/2011 11:12,42.20031 93.42592,I look ridiculous after the hair cut. Too much air is flowing. I Feeeeel COLD!,1
1359,238,5/11/2011 14:12,42.26754 93.20544,YIKES! The heat is coming back! Highs of 34C forecasted towards the weekend  then cold front w/ heavy t-storms on Sunday,1
1867,344,5/9/2011 13:29,42.27756 93.48863,sing like no one is listening dance like no one is watching  and breathe like u will never run out of breath,1
1914,349,5/11/2011 14:25,42.2239 93.36321,Basements.  Only the first metre or so below ground level is cold.  The bit below that (in winter) is relatively warm.  Weird but true.,1
2035,370,5/16/2011 14:56,42.26488 93.31408,Old school greenday then old school paramore:) my night is set.Hello insomnia my old friend i thought you would pay me a visit tonight..,1
2074,374,5/10/2011 2:14,42.26371 93.29811,I don't know what wrong. But been given cold treatment is sucks!,1
2149,385,5/12/2011 20:09,42.19972 93.30849,Ill be reaching for the stars with you  honey. Who cares if noone else believes. So  ill set fire to everyone else around.,1
2172,393,5/8/2011 16:26,42.23009 93.54774,#dontyoujusthateitwhen someone starts talking to you and there breath smells like straight sh** and u gotta sit and pretend u dnt smell,1
2210,397,5/5/2011 4:43,42.18262 93.39516,voting which is more stylish a rolex watch ot tiffany watch i can't decide both are breathtaking but its so many fake rolex oh man help!,1
2339,415,5/3/2011 14:21,42.23864 93.32287,#ghettocrayoncolors diarrhea brown,1
2587,462,5/10/2011 3:34,42.20975 93.37759,Finish with my grocery and headache is gone..effect of retail therapy?..hahaha,1
3364,601,5/11/2011 21:48,42.18646 93.37759,its august & im wearing a hoodie around the house.. WHY IS IT COLD?,1
3435,619,5/1/2011 15:49,42.2295 93.34404,Davina McCall - giving me headaches for the past 10 years. Please  for the love of my sanity  shut up...,1
3844,705,5/11/2011 17:40,42.21211 93.32886,I didn't think it was that cold outside until I had to stand out there for an hour. Back to my heater!,1
4046,727,4/30/2011 22:16,42.19442 93.42752,This is by far the coldest night of the year,1
4047,727,5/6/2011 22:16,42.19972 93.52857,is having a terrible headache. :(,1
4109,740,5/12/2011 19:01,42.23127 93.55613,Finally feel like i'm able to breathe again. Almost suffocated from anger just now when i can't get anything right and lost my control,1
4181,748,5/12/2011 16:18,42.23658 93.33725,now im sleepy.. my head is aching but i just cant sleep coz i cant stop thinking bou the rat that freaked me out. :((,1
4330,780,5/12/2011 10:32,42.28641 93.42752,I be blowing on that fire you can't say it ain't strong *cough* *cough*,1
4384,794,5/3/2011 17:14,42.21771 93.36161,: a cold tub of yogurt after a relaxing warm bath is &lt;3.,1
4757,854,5/9/2011 18:43,42.28346 93.28812, and someone rings you and your dinner goes cold -.-',1
4816,863,5/9/2011 15:22,42.21152 93.38837,Haha  the truth is in the air and I just breathe it in.,1
5049,926,5/16/2011 19:00,42.26547 93.44429,Flaming Moe's is one of my favourite Simpsons episodes. 'You fools! The secret ingredient is cough syrup!',1
5178,939,5/11/2011 16:33,42.1782 93.21463,#newtwitter is gonna be bugged out  lol heehee   i know tweetdeck's having a headache .,1
5487,985,5/9/2011 22:50,42.2068 93.38118,your world   is my world   and my fight   is your fight  and my breath is your breath (8) AHHHHHHHHHHHHHaaah,1
5636,1018,5/8/2011 15:26,42.28316 93.26855,#BreakUpLines  im sorry but my mom is very sick with the flu . i got no more time for u/,1
5655,1020,5/11/2011 22:10,42.21063 93.32567,What I really meant to say is I'm sorry for the way I am I never meant to be so cold,1
5714,1037,5/16/2011 17:15,42.16906 93.38598,I am falling apart! My ankle is feeling better than yesterday but now I'm trying to stop coughing...I hate being sick!,1
6085,1106,5/6/2011 14:49,42.22773 93.26895,Why is my room the coldest ? I'm in pjs an a hoodie smdh an its hot out,1
6109,1109,5/3/2011 16:28,42.2752 93.5094,I don't know what to believe anymore. ..the solid rock I  once had is gone  replaced by sinking sand...numbness  I'm growing colder,1
6546,1179,5/13/2011 17:47,42.22891 93.55892,Imma kiss you even if you got the flu,1
6894,1237,5/16/2011 10:37,42.24749 93.44189,Is it just me or is it really cold O__o,1
6975,1256,5/6/2011 9:31,42.20886 93.36121,Well it's 21 degrees but feels colder. The lake is frozen solid and were getting more snow tonight.   Gonna cozy up by the fire. yeah...,1
7355,1330,5/3/2011 9:26,42.24189 93.33086,gotta love the fire place on a cold night(:,1
7470,1344,5/8/2011 1:41,42.22567 93.36601,I should follow more people in the eastern hemisphere. That would make #insomnia far less boring.,1
7513,1355,5/10/2011 14:56,42.24484 93.53496,#GhettoCrayonColors diarrhea green lol,1
7697,1390,5/16/2011 21:00,42.2127 93.35243,#DontYouJusthateitwhen u have diarrhea and u sit so long on the toilet that your butt starts to hurt,1
